Year,Make,Model,Fuel Type,Car Type,Car Build,Count,
2024,Audi,S3,Petrol,2.0L Sedan 4WD,OTHER,35,
2024,BMW,i4,Electric,Hatchback RWD,OTHER,29,
2024,BMW,iX1,Electric,xLine SUV FWD,SUV,29,
2024,Ford,Ranger,Petrol,3.0L Dual Cab Ute 4XC,UTE,11,
2024,GWM,Haval Jolion,Hybrid,Hybrid 1.5L SUV FWD Hybrid,SUV,14,
2024,Hyundai,i30,Hybrid,1.6L Sedan FWD Hybrid,OTHER,14,
2024,Hyundai,Kona,Electric,SUV FWD,SUV,6,
2024,Kia,EV6,Electric,SUV 4WD,SUV,5,
2024,Mazda,CX-5,Petrol,Maxx Sport 2.5L SUV FWD,SUV,52,
2024,Mitsubishi,Triton,Diesel,2.4L Diesel Dual Cab Ute 4XD,UTE,35,
2024,Toyota,Camry,Hybrid,2.5L Sedan FWD Hybrid,OTHER,20,
2024,Toyota,RAV4,Hybrid,2.5L SUV FWD Hybrid,SUV,53,
2024,Toyota,RAV4,Hybrid,2.5L SUV 4WD Hybrid,SUV,33,
